Algorithm,Params,Silhouette,Davies-Bouldin,Calinski-Harabasz
K-Means,k=2,0.1769304607928066,1.995025904104722,208.1155020202108
K-Means,k=3,0.18089177113386337,1.9173246636737489,185.86484597772963
K-Means,k=4,0.18786350793334786,1.7433201247354377,163.9208902060745
Agglomerative,linkage=ward,0.14796657879226854,2.0526525585463977,175.33876359047824
Agglomerative,linkage=complete,0.10215514457530835,3.078204770328237,71.58525622046857
Agglomerative,linkage=average,0.20778015878298647,0.6465249915133021,2.2623203950545987
DBSCAN,eps=1.5,0.20294235185843326,0.6331009872559888,2.359383566529204
